tfr_scenario,year,age,fertility,life_exp,population,births,births_cum
1.3,3055,60,,,1412.802884,,
1.3,3055,65,,,1521.610995,,
1.3,3055,70,,,1638.821574,,
1.3,3055,75,,,1765.06185,,
1.3,3055,80,,,1900.920382,,
1.3,3055,85,,,2024.555606,,
1.3,3055,90,,,1932.598802,,
1.3,3055,95,,,1419.181446,,
1.3,3055,100,,,1528.338658,,
1.3,3055,all,1.3,100.00499,25957.62491,538.61017,19592809808
1.3,3060,0,,,538.5834587000001,,
1.3,3060,5,,,580.0142231999999,,
1.3,3060,10,,,624.6537369,,
1.3,3060,15,,,672.7513023,,
1.3,3060,20,,,724.5596699,,
1.3,3060,25,,,780.3543198,,
1.3,3060,30,,,840.450287,,
1.3,3060,35,,,905.1853194,,
1.3,3060,40,,,974.9010647,,
1.3,3060,45,,,1049.980616,,
1.3,3060,50,,,1130.838432,,
1.3,3060,55,,,1217.915775,,
1.3,3060,60,,,1311.705767,,
1.3,3060,65,,,1412.721033,,
1.3,3060,70,,,1521.536483,,
1.3,3060,75,,,1638.73428,,
1.3,3060,80,,,1764.860414,,
1.3,3060,85,,,1879.655312,,
1.3,3060,90,,,1794.406521,,
1.3,3060,95,,,1317.817973,,
1.3,3060,100,,,1418.399841,,
1.3,3060,all,1.3,100.005,24100.02583,500.09821,19592810308
1.3,3065,0,,,500.0734487,,
1.3,3065,5,,,538.5394184,,
1.3,3065,10,,,579.9843201,,
1.3,3065,15,,,624.6395689,,
1.3,3065,20,,,672.7398089,,
1.3,3065,25,,,724.5407661,,
1.3,3065,30,,,780.3348933,,
1.3,3065,35,,,840.4357267,,
1.3,3065,40,,,905.1603904999999,,
1.3,3065,45,,,974.8645052000001,,
1.3,3065,50,,,1049.9328,,
1.3,3065,55,,,1130.77486,,
1.3,3065,60,,,1217.848439,,
1.3,3065,65,,,1311.629398,,
1.3,3065,70,,,1412.651459,,
1.3,3065,75,,,1521.454959,,
1.3,3065,80,,,1638.546399,,
1.3,3065,85,,,1745.133566,,
1.3,3065,90,,,1666.103467,,
1.3,3065,95,,,1223.70007,,
1.3,3065,100,,,1316.37438,,
1.3,3065,all,1.3,100.005,22375.46265,464.3421,19592810772
1.3,3070,0,,,464.3191326,,
1.3,3070,5,,,500.0326299,,
1.3,3070,10,,,538.5117140999999,,
1.3,3070,15,,,579.9711971,,
1.3,3070,20,,,624.628915,,
1.3,3070,25,,,672.7222571999999,,
1.3,3070,30,,,724.5227142,,
1.3,3070,35,,,780.3213471,,
1.3,3070,40,,,840.4125183,,
1.3,3070,45,,,905.1263473,,
1.3,3070,50,,,974.8199681999999,,
1.3,3070,55,,,1049.873563,,
1.3,3070,60,,,1130.712056,,
1.3,3070,65,,,1217.777184,,
1.3,3070,70,,,1311.564433,,
1.3,3070,75,,,1412.575322,,
1.3,3070,80,,,1521.27972,,
1.3,3070,85,,,1620.24645,,
1.3,3070,90,,,1546.981416,,
1.3,3070,95,,,1136.30941,,
1.3,3070,100,,,1221.692319,,
1.3,3070,all,1.3,100.005,20774.40061,431.14447,19592811203
1.3,3075,0,,,431.1231692,,
1.3,3075,5,,,464.2812997,,
1.3,3075,10,,,500.0069626,,
1.3,3075,15,,,538.4995589,,
1.3,3075,20,,,579.9613214,,
1.3,3075,25,,,624.6126186,,
1.3,3075,30,,,672.7054824000001,,
1.3,3075,35,,,724.5101112,,
1.3,3075,40,,,780.2997404,,
1.3,3075,45,,,840.3808181000001,,
1.3,3075,50,,,905.0848639,,
1.3,3075,55,,,974.764769,,
1.3,3075,60,,,1049.814986,,
1.3,3075,65,,,1130.645573,,
1.3,3075,70,,,1217.716524,,
1.3,3075,75,,,1311.493329,,
1.3,3075,80,,,1412.411874,,
1.3,3075,85,,,1504.303407,,
1.3,3075,90,,,1436.3829,,
1.3,3075,95,,,1055.164772,,
1.3,3075,100,,,1133.824775,,
1.3,3075,all,1.3,100.00501,19287.98885,400.32211,19592811604
1.3,3080,0,,,400.3023597,,
1.3,3080,5,,,431.0881036,,
1.3,3080,10,,,464.2575195,,
1.3,3080,15,,,499.9957039,,
1.3,3080,20,,,538.4904045,,
1.3,3080,25,,,579.9461903,,
1.3,3080,30,,,624.5970304,,
1.3,3080,35,,,672.6937569,,
1.3,3080,40,,,724.4899955,,
1.3,3080,45,,,780.2702217,,
1.3,3080,50,,,840.3421787,,
1.3,3080,55,,,905.0334273,,
1.3,3080,60,,,974.7101343,,
1.3,3080,65,,,1049.752954,,
1.3,3080,70,,,1130.588931,,
1.3,3080,75,,,1217.650118,,
1.3,3080,80,,,1311.340877,,
1.3,3080,85,,,1396.66341,,
1.3,3080,90,,,1333.69757,,
1.3,3080,95,,,979.8193876,,
1.3,3080,100,,,1052.280981,,
1.3,3080,all,1.3,100.00502,17908.01126,371.70496,19592811975
1.3,3085,0,,,371.6866336,,
1.3,3085,5,,,400.2698589,,
1.3,3085,10,,,431.0660718,,
1.3,3085,15,,,464.2470912,,
1.3,3085,20,,,499.987218,,
1.3,3085,25,,,538.4763553,,
1.3,3085,30,,,579.9317047,,
1.3,3085,35,,,624.5861212999999,,
1.3,3085,40,,,672.6750293,,
1.3,3085,45,,,724.4625081,,
1.3,3085,50,,,780.2342312,,
1.3,3085,55,,,840.294248,,
1.3,3085,60,,,904.9824694,,
1.3,3085,65,,,974.6522559,,
1.3,3085,70,,,1049.700065,,
1.3,3085,75,,,1130.526914,,
1.3,3085,80,,,1217.507923,,
1.3,3085,85,,,1296.731412,,
1.3,3085,90,,,1238.358815,,
1.3,3085,95,,,909.8584673,,
1.3,3085,100,,,976.6055368,,
1.3,3085,all,1.3,100.00502,16626.84093,345.13507,19592812320
1.3,3090,0,,,345.1181073,,
1.3,3090,5,,,371.65651,,
1.3,3090,10,,,400.2494469,,
1.3,3090,15,,,431.0564126,,
1.3,3090,20,,,464.2392249,,
1.3,3090,25,,,499.9741732,,
1.3,3090,30,,,538.4628942000001,,
1.3,3090,35,,,579.921555,,
1.3,3090,40,,,624.5686858,,
1.3,3090,45,,,672.6494332,,
1.3,3090,50,,,724.4289846,,
1.3,3090,55,,,780.1895671,,
1.3,3090,60,,,840.2467192,,
1.3,3090,65,,,904.9284659,,
1.3,3090,70,,,974.6028706,,
1.3,3090,75,,,1049.642147,,
1.3,3090,80,,,1130.394285,,
1.3,3090,85,,,1203.955037,,
1.3,3090,90,,,1149.840626,,
1.3,3090,95,,,844.8969135,,
1.3,3090,100,,,906.3758553,,
1.3,3090,all,1.3,100.00503,15437.39791,320.46594,19592812641
1.3,3095,0,,,320.45021,,
1.3,3095,5,,,345.0901869,,
1.3,3095,10,,,371.6375987,,
1.3,3095,15,,,400.2405001,,
1.3,3095,20,,,431.0491207,,
1.3,3095,25,,,464.2271127,,
1.3,3095,30,,,499.9616641,,
1.3,3095,35,,,538.453451,,
1.3,3095,40,,,579.9053225,,
1.3,3095,45,,,624.5448507999999,,
1.3,3095,50,,,672.6182075,,
1.3,3095,55,,,724.3873644,,
1.3,3095,60,,,780.1452363,,
1.3,3095,65,,,840.196331,,
1.3,3095,70,,,904.8823522,,
1.3,3095,75,,,974.5487797,,
1.3,3095,80,,,1049.518439,,
1.3,3095,85,,,1117.821526,,
1.3,3095,90,,,1067.654684,,
1.3,3095,95,,,784.577192,,
1.3,3095,100,,,841.199801,,
1.3,3095,all,1.3,100.00503,14333.10993,297.56146,19592812938
1.3,3100,0,,,297.5468727,,
1.3,3100,5,,,320.4243317,,
1.3,3100,10,,,345.072666,,
1.3,3100,15,,,371.6293117,,
1.3,3100,20,,,400.2337405,,
1.3,3100,25,,,431.0378742,,
1.3,3100,30,,,464.215488,,
1.3,3100,35,,,499.9528781,,
1.3,3100,40,,,538.4383384,,
1.3,3100,45,,,579.8831273,,
1.3,3100,50,,,624.5157653,,
1.3,3100,55,,,672.5794234,,
1.3,3100,60,,,724.3460163,,
1.3,3100,65,,,780.0982213,,
1.3,3100,70,,,840.1532721,,
1.3,3100,75,,,904.831836,,
1.3,3100,80,,,974.4333939000001,,
1.3,3100,85,,,1037.85489,,
1.3,3100,90,,,991.3476571,,
1.3,3100,95,,,728.5673576,,
1.3,3100,100,,,780.7134919,,
1.3,3100,all,1.3,100.00504,13307.87595,276.29532,19592813215
1.3,3105,0,,,276.281775,,
1.3,3105,5,,,297.522887,,
1.3,3105,10,,,320.4080988,,
1.3,3105,15,,,345.0649901,,
1.3,3105,20,,,371.6230455,,
1.3,3105,25,,,400.2232978,,
1.3,3105,30,,,431.0270715,,
1.3,3105,35,,,464.2073135,,
1.3,3105,40,,,499.938808,,
1.3,3105,45,,,538.41767,,
1.3,3105,50,,,579.856035,,
1.3,3105,55,,,624.4796238,,
1.3,3105,60,,,672.5408571,,
1.3,3105,65,,,724.3021483,,
1.3,3105,70,,,780.0580146999999,,
1.3,3105,75,,,840.1060942,,
1.3,3105,80,,,904.7242112,,
1.3,3105,85,,,963.6132705,,
1.3,3105,90,,,920.4986924,,
1.3,3105,95,,,676.5592217,,
1.3,3105,100,,,724.5792633,,
1.3,3105,all,1.3,100.00504,12356.03239,256.5502,19592813471
1.3,3110,0,,,256.5376463,,
1.3,3110,5,,,276.2595435,,
1.3,3110,10,,,297.5078475,,
1.3,3110,15,,,320.400989,,
1.3,3110,20,,,345.0591813,,
1.3,3110,25,,,371.6133491,,
1.3,3110,30,,,400.2132588,,
1.3,3110,35,,,431.0194657,,
1.3,3110,40,,,464.1942139,,
1.3,3110,45,,,499.9195613,,
1.3,3110,50,,,538.3924342,,
1.3,3110,55,,,579.8223559,,
1.3,3110,60,,,624.4436519,,
1.3,3110,65,,,672.4999254000001,,
1.3,3110,70,,,724.264605,,
1.3,3110,75,,,780.0139545,,
1.3,3110,80,,,840.005708,,
1.3,3110,85,,,894.6864921,,
1.3,3110,90,,,854.7170877,,
1.3,3110,95,,,628.2666505,,
1.3,3110,100,,,672.4837777,,
1.3,3110,all,1.3,100.00504,11472.3217,238.21727,19592813709
1.3,3115,0,,,238.2056169,,
1.3,3115,5,,,256.5170407,,
1.3,3115,10,,,276.2456096,,
1.3,3115,15,,,297.501262,,
1.3,3115,20,,,320.3956042,,
1.3,3115,25,,,345.0501777,,
1.3,3115,30,,,371.6040197,,
1.3,3115,35,,,400.2061823,,
1.3,3115,40,,,431.0072697,,
1.3,3115,45,,,464.1762911,,
1.3,3115,50,,,499.8960547,,
1.3,3115,55,,,538.3610496,,
1.3,3115,60,,,579.7888038,,
1.3,3115,65,,,624.4054598,,
1.3,3115,70,,,672.4648689000001,,
1.3,3115,75,,,724.2234565,,
1.3,3115,80,,,779.9203198,,
1.3,3115,85,,,830.6937885999999,,
1.3,3115,90,,,793.6401291,,
1.3,3115,95,,,583.4239857,,
1.3,3115,100,,,624.1362711,,
1.3,3115,all,1.3,100.00505,10651.86326,221.19542,19592813931
1.3,3120,0,,,221.1846158,,
1.3,3120,5,,,238.1865182,,
1.3,3120,10,,,256.5041311,,
1.3,3120,15,,,276.2395097,,
1.3,3120,20,,,297.4962702,,
1.3,3120,25,,,320.3872439,,
1.3,3120,30,,,345.0415078,,
1.3,3120,35,,,371.5974355,,
1.3,3120,40,,,400.1948274,,
1.3,3120,45,,,430.9905795,,
1.3,3120,50,,,464.1543951,,
1.3,3120,55,,,499.866808,,
1.3,3120,60,,,538.3297543,,
1.3,3120,65,,,579.7531678,,
1.3,3120,70,,,624.3727254,,
1.3,3120,75,,,672.4264396,,
1.3,3120,80,,,724.1361188,,
1.3,3120,85,,,771.2816923,,
1.3,3120,90,,,736.9310849,,
1.3,3120,95,,,541.7845781,,
1.3,3120,100,,,579.2669256,,
1.3,3120,all,1.3,100.00506,9890.126329000001,205.39082,19592814136
1.3,3125,0,,,205.3808115,,
1.3,3125,5,,,221.1669137,,
1.3,3125,10,,,238.1745576,,
1.3,3125,15,,,256.498481,,
1.3,3125,20,,,276.2348823,,
1.3,3125,25,,,297.4885071,,
1.3,3125,30,,,320.3791867,,
1.3,3125,35,,,345.0353816,,
1.3,3125,40,,,371.5868637,,
1.3,3125,45,,,400.179285,,
1.3,3125,50,,,430.9701836,,
1.3,3125,55,,,464.1271405,,
1.3,3125,60,,,499.8376176,,
1.3,3125,65,,,538.2965031,,
1.3,3125,70,,,579.7226015,,
1.3,3125,75,,,624.3368356,,
1.3,3125,80,,,672.3449751000001,,
1.3,3125,85,,,716.1220763,,
1.3,3125,90,,,684.2773428,,
1.3,3125,95,,,503.1194262,,
1.3,3125,100,,,537.6253597,,
1.3,3125,all,1.3,100.00506,9182.904931999999,190.71638,19592814327
1.3,3130,0,,,190.7070934,,
1.3,3130,5,,,205.3644039,,
1.3,3130,10,,,221.1558323,,
1.3,3130,15,,,238.1693241,,
1.3,3130,20,,,256.4941912,,
1.3,3130,25,,,276.2276736,,
1.3,3130,30,,,297.4810193,,
1.3,3130,35,,,320.3734866,,
1.3,3130,40,,,345.0255388,,
1.3,3130,45,,,371.5723901,,
1.3,3130,50,,,400.1602863,,
1.3,3130,55,,,430.9447853,,
1.3,3130,60,,,464.0999132,,
1.3,3130,65,,,499.8065915,,
1.3,3130,70,,,538.2679613,,
1.3,3130,75,,,579.6890833,,
1.3,3130,80,,,624.260849,,
1.3,3130,85,,,664.9103358,,
1.3,3130,90,,,635.3886814,,
1.3,3130,95,,,467.2159128,,
1.3,3130,100,,,498.9792272,,
1.3,3130,all,1.3,100.00507,8526.29458,177.0912,19592814504
1.3,3135,0,,,177.0825896,,
1.3,3135,5,,,190.6918856,,
1.3,3135,10,,,205.3541371,,
1.3,3135,15,,,221.1509847,,
1.3,3135,20,,,238.1653473,,
1.3,3135,25,,,256.4874974,,
1.3,3135,30,,,276.2207149,,
1.3,3135,35,,,297.4757156,,
1.3,3135,40,,,320.3643225,,
1.3,3135,45,,,345.0120604,,
1.3,3135,50,,,371.5546927,,
1.3,3135,55,,,400.1366177,,
1.3,3135,60,,,430.919389,,
1.3,3135,65,,,464.0709632,,
1.3,3135,70,,,499.7799401,,
1.3,3135,75,,,538.236658,,
1.3,3135,80,,,579.618206,,
1.3,3135,85,,,617.3637012,,
1.3,3135,90,,,589.9956647,,
1.3,3135,95,,,433.8766314,,
1.3,3135,100,,,463.1129177,,
1.3,3135,all,1.3,100.00507,7916.670637,164.44022,19592814668
1.3,3140,0,,,164.4322201,,
1.3,3140,5,,,177.0684939,,
1.3,3140,10,,,190.6823735,,
1.3,3140,15,,,205.349647,,
1.3,3140,20,,,221.1472981,,
1.3,3140,25,,,238.1591315,,
1.3,3140,30,,,256.4810303,,
1.3,3140,35,,,276.21578,,
1.3,3140,40,,,297.4671834,,
1.3,3140,45,,,320.3517708,,
1.3,3140,50,,,344.9955752,,
1.3,3140,55,,,371.5326359,,
1.3,3140,60,,,400.1129292,,
1.3,3140,65,,,430.8923761,,
1.3,3140,70,,,464.046077,,
1.3,3140,75,,,499.7507053,,
1.3,3140,80,,,538.1705462,,
1.3,3140,85,,,573.2196711,,
1.3,3140,90,,,547.848153,,
1.3,3140,95,,,402.9182979,,
1.3,3140,100,,,429.8263498,,
1.3,3140,all,1.3,100.00507,7350.668245,152.6937,19592814821
1.3,3145,0,,,152.6862816,,
1.3,3145,5,,,164.4191551,,
1.3,3145,10,,,177.0596809,,
1.3,3145,15,,,190.6782144,,
1.3,3145,20,,,205.3462292,,
1.3,3145,25,,,221.1415261,,
1.3,3145,30,,,238.1531213,,
1.3,3145,35,,,256.4764386,,
1.3,3145,40,,,276.2078361,,
1.3,3145,45,,,297.4554947,,
1.3,3145,50,,,320.3364146,,
1.3,3145,55,,,344.9750203,,
1.3,3145,60,,,371.5105402,,
1.3,3145,65,,,400.0877236,,
1.3,3145,70,,,430.869138,,
1.3,3145,75,,,464.0187739,,
1.3,3145,80,,,499.6890384,,
1.3,3145,85,,,532.2345593,,
1.3,3145,90,,,508.7139194,,
1.3,3145,95,,,374.1707389,,
1.3,3145,100,,,398.9338522,,
1.3,3145,all,1.3,100.00508,6825.163697,141.78694,19592814963
1.3,3150,0,,,141.780062,,
1.3,3150,5,,,152.6741718,,
1.3,3150,10,,,164.4109899,,
1.3,3150,15,,,177.0558285,,
1.3,3150,20,,,190.675046,,
1.3,3150,25,,,205.3408694,,
1.3,3150,30,,,221.1359405,,
1.3,3150,35,,,238.1488488,,
1.3,3150,40,,,256.4690423,,
1.3,3150,45,,,276.1969509,,
1.3,3150,50,,,297.4411901,,
1.3,3150,55,,,320.3172592,,
1.3,3150,60,,,344.9544102,,
1.3,3150,65,,,371.487021,,
1.3,3150,70,,,400.0660245,,
1.3,3150,75,,,430.8436391,,
1.3,3150,80,,,463.9612528,,
1.3,3150,85,,,494.1821444,,
1.3,3150,90,,,472.3773665,,
1.3,3150,95,,,347.4759535,,
1.3,3150,100,,,370.2631256,,
1.3,3150,all,1.3,100.00509,6337.257137,131.65985,19592815094
1.3,3155,0,,,131.6534829,,
1.3,3155,5,,,141.7688377,,
1.3,3155,10,,,152.6666068,,
1.3,3155,15,,,164.4074215,,
1.3,3155,20,,,177.0528912,,
1.3,3155,25,,,190.6700687,,
1.3,3155,30,,,205.3356782,,
1.3,3155,35,,,221.131965,,
1.3,3155,40,,,238.1419623,,
1.3,3155,45,,,256.4589053,,
1.3,3155,50,,,276.1836258,,
1.3,3155,55,,,297.4233388,,
1.3,3155,60,,,320.2980347,,
1.3,3155,65,,,344.9324643,,
1.3,3155,70,,,371.4667589,,
1.3,3155,75,,,400.0422104,,
1.3,3155,80,,,430.7899848,,
1.3,3155,85,,,458.8524177,,
1.3,3155,90,,,438.6383341,,
1.3,3155,95,,,322.6872418,,
1.3,3155,100,,,343.6542784,,
1.3,3155,all,1.3,100.00509,5884.256509,122.25668,19592815217
1.3,3160,0,,,122.2507678,,
1.3,3160,5,,,131.6430793,,
1.3,3160,10,,,141.7618286,,
1.3,3160,15,,,152.6633015,,
1.3,3160,20,,,164.4046984,,
1.3,3160,25,,,177.0482692,,
1.3,3160,30,,,190.6652442,,
1.3,3160,35,,,205.3319791,,
1.3,3160,40,,,221.1255532,,
1.3,3160,45,,,238.1325221,,
1.3,3160,50,,,256.4464926,,
1.3,3160,55,,,276.1669897,,
1.3,3160,60,,,297.4054067,,
1.3,3160,65,,,320.2775569,,
1.3,3160,70,,,344.913544,,
1.3,3160,75,,,371.4445184,,
1.3,3160,80,,,399.9921629,,
1.3,3160,85,,,426.0504201,,
1.3,3160,90,,,407.3109938,,
1.3,3160,95,,,299.6683957,,
1.3,3160,100,,,318.9589332,,
1.3,3160,all,1.3,100.0051,5463.662657,113.52561,19592815330
1.3,3165,0,,,113.5201332,,
1.3,3165,5,,,122.2411248,,
1.3,3165,10,,,131.6365854,,
1.3,3165,15,,,141.758767,,
1.3,3165,20,,,152.660777,,
1.3,3165,25,,,164.4004063,,
1.3,3165,30,,,177.0437853,,
1.3,3165,35,,,190.6618022,,
1.3,3165,40,,,205.3260092,,
1.3,3165,45,,,221.1167618,,
1.3,3165,50,,,238.1209592,,
1.3,3165,55,,,256.4309889,,
1.3,3165,60,,,276.150263,,
1.3,3165,65,,,297.3862986,,
1.3,3165,70,,,320.2598896,,
1.3,3165,75,,,344.8927731,,
1.3,3165,80,,,371.3978349,,
1.3,3165,85,,,395.5951632,,
1.3,3165,90,,,378.2228213,,
1.3,3165,95,,,278.2929485,,
1.3,3165,100,,,296.0393969,,
1.3,3165,all,1.3,100.0051,5073.155489,105.41859,19592815436
1.3,3170,0,,,105.4135032,,
1.3,3170,5,,,113.5111953,,
1.3,3170,10,,,122.2351082,,
1.3,3170,15,,,131.6337495,,
1.3,3170,20,,,141.7564266,,
1.3,3170,25,,,152.6567911,,
1.3,3170,30,,,164.396239,,
1.3,3170,35,,,177.0405825,,
1.3,3170,40,,,190.6562437,,
1.3,3170,45,,,205.317822,,
1.3,3170,50,,,221.1059905,,
1.3,3170,55,,,238.1065108,,
1.3,3170,60,,,256.4153865,,
1.3,3170,65,,,276.132433,,
1.3,3170,70,,,297.3698012,,
1.3,3170,75,,,320.240491,,
1.3,3170,80,,,344.8492274,,
1.3,3170,85,,,367.3186273,,
1.3,3170,90,,,351.2136437,,
1.3,3170,95,,,258.4434773,,
1.3,3170,100,,,274.7678908,,
1.3,3170,all,1.3,100.0051,4710.581141,97.890961,19592815534
1.3,3175,0,,,97.88624325000001,,
1.3,3175,5,,,105.4052187,,
1.3,3175,10,,,113.5056208,,
1.3,3175,15,,,122.2324814,,
1.3,3175,20,,,131.6315797,,
1.3,3175,25,,,141.7527252,,
1.3,3175,30,,,152.6529181,,
1.3,3175,35,,,164.3932588,,
1.3,3175,40,,,177.0354071,,
1.3,3175,45,,,190.6486191,,
1.3,3175,50,,,205.307788,,
1.3,3175,55,,,221.0925254,,
1.3,3175,60,,,238.0919571,,
1.3,3175,65,,,256.398749,,
1.3,3175,70,,,276.117028,,
1.3,3175,75,,,297.3516844,,
1.3,3175,80,,,320.1998721,,
1.3,3175,85,,,341.0648311,,
1.3,3175,90,,,326.1347546,,
1.3,3175,95,,,240.0109558,,
1.3,3175,100,,,255.0258363,,
1.3,3175,all,1.3,100.00511,4373.940054,90.901283,19592815624
1.3,3180,0,,,90.89691418,,
1.3,3180,5,,,97.87856441,,
1.3,3180,10,,,105.4000539,,
1.3,3180,15,,,113.5031877,,
1.3,3180,20,,,122.2304698,,
1.3,3180,25,,,131.6281424,,
1.3,3180,30,,,141.7491255,,
1.3,3180,35,,,152.6501449,,
1.3,3180,40,,,164.38844,,
1.3,3180,45,,,177.0283064,,
1.3,3180,50,,,190.6392719,,
1.3,3180,55,,,205.2952393,,
1.3,3180,60,,,221.0789497,,
1.3,3180,65,,,238.0764323,,
1.3,3180,70,,,256.3843641,,
1.3,3180,75,,,276.1001083,,
1.3,3180,80,,,297.3137953,,
1.3,3180,85,,,316.6889691,,
1.3,3180,90,,,302.8480922,,
1.3,3180,95,,,222.8941536,,
1.3,3180,100,,,236.7031923,,
1.3,3180,all,1.3,100.00512,4061.375917,84.411095,19592815709
1.3,3185,0,,,84.40704287,,
1.3,3185,5,,,90.88979671,,
1.3,3185,10,,,97.87377923,,
1.3,3185,15,,,105.3978001,,
1.3,3185,20,,,113.5013227,,
1.3,3185,25,,,122.2272776,,
1.3,3185,30,,,131.6247968,,
1.3,3185,35,,,141.746545,,
1.3,3185,40,,,152.6456582,,
1.3,3185,45,,,164.3818271,,
1.3,3185,50,,,177.0195989,,
1.3,3185,55,,,190.627577,,
1.3,3185,60,,,205.2825759,,
1.3,3185,65,,,221.0644631,,
1.3,3185,70,,,238.0629998,,
1.3,3185,75,,,256.3685622,,
1.3,3185,80,,,276.0647654,,
1.3,3185,85,,,294.05661,,
1.3,3185,90,,,281.2254771,,
1.3,3185,95,,,206.9990779,,
1.3,3185,100,,,219.6978399,,
1.3,3185,all,1.3,100.00512,3771.165394,78.384674,19592815787
1.3,3190,0,,,78.38090999000001,,
1.3,3190,5,,,84.40044571999999,,
1.3,3190,10,,,90.88536319000001,,
1.3,3190,15,,,97.87169158,,
1.3,3190,20,,,105.3960711,,
1.3,3190,25,,,113.4983582,,
1.3,3190,30,,,122.2241682,,
1.3,3190,35,,,131.6223955,,
1.3,3190,40,,,141.7423674,,
1.3,3190,45,,,152.6394996,,
1.3,3190,50,,,164.3737155,,
1.3,3190,55,,,177.0086998,,
1.3,3190,60,,,190.6157646,,
1.3,3190,65,,,205.269058,,
1.3,3190,70,,,221.0519201,,
1.3,3190,75,,,238.048242,,
1.3,3190,80,,,256.3355944,,
1.3,3190,85,,,273.0429528,,
1.3,3190,90,,,261.1479043,,
1.3,3190,95,,,192.2384564,,
1.3,3190,100,,,203.9150117,,
1.3,3190,all,1.3,100.00513,3501.70859,72.788841,19592815860
1.3,3195,0,,,72.78535264999999,,
1.3,3195,5,,,78.3747951,,
1.3,3195,10,,,84.39633800999999,,
1.3,3195,15,,,90.88342943000001,,
1.3,3195,20,,,97.87008853,,
1.3,3195,25,,,105.393318,,
1.3,3195,30,,,113.4954682,,
1.3,3195,35,,,122.2219337,,
1.3,3195,40,,,131.6185057,,
1.3,3195,45,,,141.7366319,,
1.3,3195,50,,,152.6319431,,
1.3,3195,55,,,164.363558,,
1.3,3195,60,,,176.997681,,
1.3,3195,65,,,190.6031506,,
1.3,3195,70,,,205.2573454,,
1.3,3195,75,,,221.0381373,,
1.3,3195,80,,,238.0174895,,
1.3,3195,85,,,253.5321365,,
1.3,3195,90,,,242.504886,,
1.3,3195,95,,,178.5312555,,
1.3,3195,100,,,189.2667624,,
1.3,3195,all,1.3,100.00513,3251.520207,67.592819,19592815928
1.3,3200,0,,,67.58958136,,
1.3,3200,5,,,72.77968475999999,,
1.3,3200,10,,,78.37098924999999,,
1.3,3200,15,,,84.3945468,,
1.3,3200,20,,,90.88194319999999,,
1.3,3200,25,,,97.86753181,,
1.3,3200,30,,,105.390632,,
1.3,3200,35,,,113.4933889,,
1.3,3200,40,,,122.2183118,,
1.3,3200,45,,,131.6131642,,
1.3,3200,50,,,141.7295924,,
1.3,3200,55,,,152.6224765,,
1.3,3200,60,,,164.3532795,,
1.3,3200,65,,,176.9859105,,
1.3,3200,70,,,190.5922135,,
1.3,3200,75,,,205.2444733,,
1.3,3200,80,,,221.0094512,,
1.3,3200,85,,,235.4165995,,
1.3,3200,90,,,225.1938417,,
1.3,3200,95,,,165.8022347,,
1.3,3200,100,,,175.6714774,,
1.3,3200,all,1.3,100.00514,3019.221324,62.768009,19592815990
1.3,3205,0,,,62.76501,,
1.3,3205,5,,,67.58432778,,
1.3,3205,10,,,72.77615858,,
1.3,3205,15,,,78.36933007,,
1.3,3205,20,,,84.39316887,,
1.3,3205,25,,,90.87956878,,
1.3,3205,30,,,97.86503528,,
1.3,3205,35,,,105.388697,,
1.3,3205,40,,,113.4900165,,
1.3,3205,45,,,122.2133372,,
1.3,3205,50,,,131.6066063,,
1.3,3205,55,,,141.7207698,,
1.3,3205,60,,,152.6128886,,
1.3,3205,65,,,164.3422959,,
1.3,3205,70,,,176.9756975,,
1.3,3205,75,,,190.5801919,,
1.3,3205,80,,,205.2177145,,
1.3,3205,85,,,218.5964842,,
1.3,3205,90,,,209.1195317,,
1.3,3205,95,,,153.9815316,,
1.3,3205,100,,,163.0534164,,
1.3,3205,all,1.3,100.00514,2803.531778,58.28788,19592816049
1.3,3210,0,,,58.28509806,,
1.3,3210,5,,,62.76014045,,
1.3,3210,10,,,67.58106072,,
1.3,3210,15,,,72.7746217,,
1.3,3210,20,,,78.36805253,,
1.3,3210,25,,,84.39096372,,
1.3,3210,30,,,90.87724837,,
1.3,3210,35,,,97.86323468000001,,
1.3,3210,40,,,105.3855569,,
1.3,3210,45,,,113.4853835,,
1.3,3210,50,,,122.207228,,
1.3,3210,55,,,131.5983838,,
1.3,3210,60,,,141.7118259,,
1.3,3210,65,,,152.6026393,,
1.3,3210,70,,,164.3327591,,
1.3,3210,75,,,176.9644701,,
1.3,3210,80,,,190.5552309,,
1.3,3210,85,,,202.979085,,
1.3,3210,90,,,194.1935315,,
1.3,3210,95,,,143.0042775,,
1.3,3210,100,,,151.342291,,
1.3,3210,all,1.3,100.00515,2603.263083,54.127785,19592816103
1.3,3215,0,,,54.12520411,,
1.3,3215,5,,,58.28058444,,
1.3,3215,10,,,62.75711345,,
1.3,3215,15,,,67.57963712,,
1.3,3215,20,,,72.77343724000001,,
1.3,3215,25,,,78.36600457999999,,
1.3,3215,30,,,84.388807,,
1.3,3215,35,,,90.87557278,,
1.3,3215,40,,,97.86031084,,
1.3,3215,45,,,105.3812421,,
1.3,3215,50,,,113.4796922,,
1.3,3215,55,,,122.1995646,,
1.3,3215,60,,,131.5900408,,
1.3,3215,65,,,141.7022618,,
1.3,3215,70,,,152.5937338,,
1.3,3215,75,,,164.3222734,,
1.3,3215,80,,,176.941186,,
1.3,3215,85,,,188.4783359,,
